Period,Accounts,Category,Note,USD,Income/Expense
2022-11-15,Cash,Misc,Transaction 2197,140.41,Expense
2020-01-17,Credit Card,Transport,Transaction 2198,811.98,Expense
2020-06-11,Credit Card,Misc,Transaction 2199,840.51,Expense
2021-06-25,Cash,Entertainment,Transaction 2200,9.51,Expense
2020-03-25,Checking,Stock,Transaction 2201,721.57,Income
2022-02-05,Cash,Utilities,Transaction 2202,608.58,Expense
2022-04-20,Checking,Utilities,Transaction 2203,152.91,Expense
2020-04-27,Credit Card,Salary,Transaction 2204,899.86,Income
2020-07-05,Cash,Transport,Transaction 2205,853.87,Expense
2025-07-12,Cash,Entertainment,Transaction 2206,844.45,Expense
2021-09-19,Cash,Salary,Transaction 2207,285.20,Income
2023-11-04,Credit Card,Bonus,Transaction 2208,881.37,Income
2024-11-27,Savings,Transport,Transaction 2209,1.92,Expense
2024-08-30,Checking,Bonus,Transaction 2210,545.63,Income
2022-02-17,Checking,Misc,Transaction 2211,522.55,Expense
2020-02-20,Checking,Stock,Transaction 2212,97.68,Income
2021-03-01,Credit Card,Entertainment,Transaction 2213,293.66,Expense
2022-05-19,Credit Card,Transport,Transaction 2214,628.88,Expense
2023-09-05,Cash,Food,Transaction 2215,321.91,Expense
2021-03-31,Checking,Transport,Transaction 2216,462.79,Expense
2021-08-20,Checking,Entertainment,Transaction 2217,540.39,Expense
2022-02-04,Credit Card,Sales,Transaction 2218,962.86,Income
2020-12-06,Cash,Utilities,Transaction 2219,253.65,Expense
2022-04-30,Savings,Salary,Transaction 2220,586.86,Income
2020-02-29,Savings,Sales,Transaction 2221,579.99,Income
2022-08-01,Credit Card,Bonus,Transaction 2222,385.18,Income
2024-06-01,Savings,Utilities,Transaction 2223,833.93,Expense
2023-01-25,Cash,Misc,Transaction 2224,828.60,Expense
2022-10-20,Savings,Misc,Transaction 2225,169.24,Expense
2022-12-21,Cash,Sales,Transaction 2226,443.54,Income
2021-01-14,Savings,Sales,Transaction 2227,609.24,Income
2023-11-27,Credit Card,Bonus,Transaction 2228,311.51,Income
2020-11-02,Credit Card,Stock,Transaction 2229,777.94,Income
2020-07-29,Checking,Salary,Transaction 2230,55.96,Income
2020-03-08,Credit Card,Misc,Transaction 2231,104.47,Expense
2024-09-17,Credit Card,Entertainment,Transaction 2232,871.95,Expense
2024-06-13,Credit Card,Stock,Transaction 2233,554.62,Income
2025-07-27,Checking,Bonus,Transaction 2234,753.33,Income
2022-10-03,Savings,Salary,Transaction 2235,856.01,Income
2020-01-21,Credit Card,Transport,Transaction 2236,45.63,Expense
2023-01-09,Checking,Sales,Transaction 2237,188.94,Income
2025-03-17,Savings,Misc,Transaction 2238,425.44,Expense
2025-01-15,Checking,Transport,Transaction 2239,309.06,Expense
2021-02-18,Savings,Stock,Transaction 2240,838.62,Income
2020-10-23,Cash,Bonus,Transaction 2241,70.46,Income
2024-10-10,Cash,Transport,Transaction 2242,579.21,Expense
2023-01-12,Savings,Salary,Transaction 2243,37.81,Income
2023-02-07,Cash,Transport,Transaction 2244,881.76,Expense
2023-11-24,Checking,Transport,Transaction 2245,258.18,Expense
2022-07-15,Savings,Food,Transaction 2246,34.11,Expense
2020-01-09,Savings,Transport,Transaction 2247,314.69,Expense
2020-04-07,Checking,Sales,Transaction 2248,85.21,Income
2023-07-05,Checking,Salary,Transaction 2249,550.32,Income
2020-11-13,Savings,Stock,Transaction 2250,83.68,Income
2023-03-28,Cash,Salary,Transaction 2251,171.15,Income
2020-11-08,Checking,Bonus,Transaction 2252,992.88,Income
2024-06-05,Checking,Salary,Transaction 2253,812.51,Income
2024-01-17,Cash,Salary,Transaction 2254,11.00,Income
2024-02-07,Cash,Misc,Transaction 2255,74.59,Expense
2020-09-24,Savings,Entertainment,Transaction 2256,720.78,Expense
2023-06-17,Savings,Stock,Transaction 2257,745.47,Income
2025-04-05,Credit Card,Misc,Transaction 2258,392.75,Expense
2025-06-05,Checking,Entertainment,Transaction 2259,984.00,Expense
2020-08-28,Savings,Stock,Transaction 2260,107.73,Income
2020-06-17,Savings,Utilities,Transaction 2261,404.37,Expense
2020-07-11,Savings,Transport,Transaction 2262,142.98,Expense
2023-06-30,Credit Card,Food,Transaction 2263,828.36,Expense
2022-07-05,Credit Card,Sales,Transaction 2264,452.87,Income
2020-09-12,Checking,Misc,Transaction 2265,54.53,Expense
2023-09-11,Cash,Stock,Transaction 2266,337.08,Income
2020-01-26,Cash,Sales,Transaction 2267,903.66,Income
2025-03-15,Checking,Transport,Transaction 2268,107.21,Expense
2021-03-02,Credit Card,Salary,Transaction 2269,351.58,Income
2023-08-27,Cash,Utilities,Transaction 2270,799.98,Expense
2023-06-08,Cash,Stock,Transaction 2271,214.78,Income
2023-02-11,Checking,Transport,Transaction 2272,95.35,Expense
2020-02-29,Checking,Transport,Transaction 2273,224.45,Expense
2024-03-07,Savings,Sales,Transaction 2274,591.97,Income
2020-11-21,Savings,Food,Transaction 2275,72.88,Expense
2022-08-12,Checking,Stock,Transaction 2276,112.33,Income
2022-11-21,Savings,Bonus,Transaction 2277,94.74,Income
2020-02-28,Checking,Sales,Transaction 2278,567.99,Income
2023-09-27,Savings,Bonus,Transaction 2279,589.48,Income
2024-12-01,Checking,Transport,Transaction 2280,937.98,Expense
2020-04-13,Savings,Stock,Transaction 2281,620.43,Income
2021-05-09,Credit Card,Transport,Transaction 2282,881.86,Expense
2023-06-01,Cash,Stock,Transaction 2283,460.95,Income
2021-10-19,Cash,Stock,Transaction 2284,674.58,Income
2022-01-29,Savings,Salary,Transaction 2285,951.75,Income
2021-11-05,Savings,Utilities,Transaction 2286,28.03,Expense
2020-09-28,Savings,Salary,Transaction 2287,121.70,Income
2024-05-26,Checking,Entertainment,Transaction 2288,6.47,Expense
2022-07-07,Checking,Stock,Transaction 2289,161.32,Income
2022-06-21,Checking,Utilities,Transaction 2290,282.18,Expense
2023-09-13,Credit Card,Salary,Transaction 2291,215.05,Income
2024-05-20,Checking,Entertainment,Transaction 2292,182.69,Expense
2024-08-16,Checking,Misc,Transaction 2293,591.84,Expense
2022-09-01,Cash,Misc,Transaction 2294,933.29,Expense
2021-08-01,Credit Card,Transport,Transaction 2295,607.37,Expense
2025-04-20,Savings,Utilities,Transaction 2296,449.98,Expense
2024-11-09,Credit Card,Transport,Transaction 2297,89.82,Expense
2021-01-05,Savings,Entertainment,Transaction 2298,853.03,Expense
2024-08-08,Credit Card,Stock,Transaction 2299,518.66,Income
2023-08-08,Checking,Entertainment,Transaction 2300,858.08,Expense
2024-12-26,Cash,Bonus,Transaction 2301,406.78,Income
2022-05-31,Savings,Salary,Transaction 2302,380.79,Income
2020-10-22,Savings,Entertainment,Transaction 2303,934.32,Expense
2020-03-30,Credit Card,Stock,Transaction 2304,234.49,Income
2020-03-31,Savings,Utilities,Transaction 2305,351.90,Expense
2022-06-04,Cash,Misc,Transaction 2306,86.20,Expense
2024-12-16,Credit Card,Transport,Transaction 2307,288.06,Expense
2025-08-05,Savings,Transport,Transaction 2308,665.33,Expense
2020-05-04,Cash,Sales,Transaction 2309,923.47,Income
2021-10-12,Credit Card,Bonus,Transaction 2310,747.91,Income
2021-10-30,Credit Card,Transport,Transaction 2311,903.67,Expense
2023-01-09,Cash,Entertainment,Transaction 2312,321.05,Expense
2023-08-28,Credit Card,Stock,Transaction 2313,976.11,Income
2025-04-06,Checking,Bonus,Transaction 2314,941.92,Income
2022-02-08,Savings,Stock,Transaction 2315,321.60,Income
2023-02-26,Cash,Sales,Transaction 2316,671.69,Income
2024-01-16,Savings,Utilities,Transaction 2317,853.99,Expense
2023-12-21,Savings,Salary,Transaction 2318,14.40,Income
2020-01-24,Savings,Misc,Transaction 2319,611.90,Expense
2024-11-16,Cash,Food,Transaction 2320,619.05,Expense
2020-12-07,Checking,Stock,Transaction 2321,657.12,Income
2025-05-06,Checking,Sales,Transaction 2322,797.18,Income
2022-01-29,Savings,Bonus,Transaction 2323,208.49,Income
2020-01-11,Cash,Sales,Transaction 2324,669.31,Income
2023-09-19,Savings,Sales,Transaction 2325,313.82,Income
2024-07-17,Checking,Transport,Transaction 2326,932.06,Expense
2020-05-03,Savings,Transport,Transaction 2327,351.26,Expense
2024-04-01,Cash,Stock,Transaction 2328,557.32,Income
2023-02-24,Cash,Misc,Transaction 2329,5.18,Expense
2020-12-31,Savings,Entertainment,Transaction 2330,383.00,Expense
2022-06-17,Credit Card,Bonus,Transaction 2331,923.06,Income
2020-12-23,Checking,Entertainment,Transaction 2332,306.44,Expense
2021-10-27,Credit Card,Food,Transaction 2333,561.23,Expense
2022-10-18,Checking,Utilities,Transaction 2334,450.37,Expense
2021-02-11,Cash,Sales,Transaction 2335,474.37,Income
2022-01-16,Savings,Entertainment,Transaction 2336,420.46,Expense
2021-11-21,Checking,Bonus,Transaction 2337,305.94,Income
2020-01-01,Savings,Entertainment,Transaction 2338,826.70,Expense
2024-06-14,Checking,Sales,Transaction 2339,696.87,Income
2024-07-06,Checking,Salary,Transaction 2340,28.86,Income
2025-05-11,Cash,Transport,Transaction 2341,877.50,Expense
2021-08-29,Credit Card,Stock,Transaction 2342,744.37,Income
2025-02-14,Savings,Transport,Transaction 2343,248.23,Expense
2021-03-16,Cash,Salary,Transaction 2344,882.19,Income
2021-07-13,Savings,Food,Transaction 2345,518.58,Expense
2022-06-03,Savings,Misc,Transaction 2346,277.56,Expense
2024-01-16,Credit Card,Sales,Transaction 2347,587.42,Income
2024-08-29,Credit Card,Entertainment,Transaction 2348,756.71,Expense
2020-10-08,Cash,Stock,Transaction 2349,343.00,Income
2021-08-14,Cash,Misc,Transaction 2350,475.79,Expense
2022-06-16,Savings,Misc,Transaction 2351,708.93,Expense
2023-07-06,Savings,Stock,Transaction 2352,347.87,Income
2023-04-22,Credit Card,Utilities,Transaction 2353,921.89,Expense
2025-03-03,Checking,Transport,Transaction 2354,540.83,Expense
2024-08-31,Credit Card,Food,Transaction 2355,681.16,Expense
2022-06-12,Savings,Misc,Transaction 2356,796.24,Expense
2024-07-27,Credit Card,Utilities,Transaction 2357,113.48,Expense
2021-12-11,Savings,Entertainment,Transaction 2358,349.65,Expense
2024-11-20,Credit Card,Transport,Transaction 2359,784.53,Expense
2023-12-30,Cash,Stock,Transaction 2360,685.53,Income
2022-06-11,Checking,Entertainment,Transaction 2361,477.14,Expense
2023-06-27,Credit Card,Entertainment,Transaction 2362,836.07,Expense
2020-04-15,Savings,Utilities,Transaction 2363,635.14,Expense
2022-02-27,Savings,Transport,Transaction 2364,670.99,Expense
2022-02-26,Savings,Transport,Transaction 2365,354.63,Expense
2024-01-17,Checking,Utilities,Transaction 2366,513.60,Expense
2025-05-04,Checking,Utilities,Transaction 2367,584.09,Expense
2025-05-24,Cash,Bonus,Transaction 2368,603.79,Income
2021-12-08,Cash,Sales,Transaction 2369,234.51,Income
2022-11-18,Savings,Food,Transaction 2370,502.88,Expense
2021-07-11,Cash,Bonus,Transaction 2371,177.38,Income
2025-04-15,Credit Card,Sales,Transaction 2372,537.57,Income
2024-12-07,Cash,Bonus,Transaction 2373,136.52,Income
2021-12-07,Cash,Bonus,Transaction 2374,541.86,Income
2021-10-29,Savings,Salary,Transaction 2375,922.87,Income
2022-07-19,Checking,Salary,Transaction 2376,984.85,Income
2021-04-24,Cash,Misc,Transaction 2377,907.55,Expense
2020-06-27,Credit Card,Salary,Transaction 2378,929.13,Income
2020-11-27,Cash,Food,Transaction 2379,727.06,Expense
2020-02-01,Cash,Transport,Transaction 2380,724.25,Expense
2022-06-27,Savings,Entertainment,Transaction 2381,21.37,Expense
2024-06-18,Credit Card,Stock,Transaction 2382,69.01,Income
2020-02-20,Checking,Food,Transaction 2383,656.61,Expense
2023-09-03,Savings,Food,Transaction 2384,636.50,Expense
2021-08-07,Checking,Transport,Transaction 2385,488.18,Expense
2021-11-24,Credit Card,Salary,Transaction 2386,24.76,Income
2022-05-26,Checking,Entertainment,Transaction 2387,190.93,Expense
2020-07-13,Credit Card,Stock,Transaction 2388,24.16,Income
2023-06-02,Checking,Stock,Transaction 2389,79.80,Income
2021-04-15,Savings,Salary,Transaction 2390,579.80,Income
2021-10-02,Credit Card,Stock,Transaction 2391,44.17,Income
2020-11-11,Cash,Bonus,Transaction 2392,744.66,Income
2023-07-21,Savings,Sales,Transaction 2393,786.11,Income
2025-04-25,Savings,Sales,Transaction 2394,595.35,Income
2020-11-11,Savings,Food,Transaction 2395,270.72,Expense
2024-07-08,Checking,Stock,Transaction 2396,470.22,Income
2024-12-15,Credit Card,Sales,Transaction 2397,103.52,Income
2022-03-05,Checking,Food,Transaction 2398,24.62,Expense
2024-10-06,Credit Card,Transport,Transaction 2399,835.75,Expense
2024-12-22,Checking,Entertainment,Transaction 2400,558.01,Expense
2024-04-20,Savings,Misc,Transaction 2401,813.13,Expense
2022-06-22,Credit Card,Bonus,Transaction 2402,88.56,Income
2022-11-06,Cash,Sales,Transaction 2403,642.10,Income
2020-04-28,Checking,Food,Transaction 2404,960.10,Expense
2023-04-28,Savings,Misc,Transaction 2405,763.60,Expense
2023-03-09,Checking,Bonus,Transaction 2406,215.78,Income
2025-04-08,Checking,Utilities,Transaction 2407,515.21,Expense
2024-05-04,Checking,Utilities,Transaction 2408,668.65,Expense
2025-01-12,Savings,Sales,Transaction 2409,6.80,Income
2024-11-23,Savings,Stock,Transaction 2410,259.85,Income
2021-02-09,Savings,Salary,Transaction 2411,597.06,Income
2024-09-30,Savings,Food,Transaction 2412,981.31,Expense
2023-12-12,Credit Card,Transport,Transaction 2413,47.06,Expense
2023-12-03,Checking,Entertainment,Transaction 2414,192.14,Expense
2024-02-20,Savings,Misc,Transaction 2415,966.00,Expense
2024-10-29,Cash,Stock,Transaction 2416,293.87,Income
2025-02-24,Cash,Stock,Transaction 2417,375.67,Income
2024-03-17,Checking,Sales,Transaction 2418,772.22,Income
2023-05-12,Cash,Stock,Transaction 2419,359.31,Income
2024-08-15,Credit Card,Entertainment,Transaction 2420,291.58,Expense
2024-01-10,Credit Card,Misc,Transaction 2421,520.47,Expense
2024-07-12,Cash,Food,Transaction 2422,862.64,Expense
2024-09-11,Savings,Stock,Transaction 2423,579.31,Income
2022-05-02,Credit Card,Bonus,Transaction 2424,149.07,Income
2021-04-07,Cash,Transport,Transaction 2425,920.82,Expense
2021-03-19,Credit Card,Stock,Transaction 2426,103.81,Income
2024-06-18,Cash,Bonus,Transaction 2427,719.93,Income
2024-06-30,Checking,Utilities,Transaction 2428,365.70,Expense
2021-09-28,Credit Card,Sales,Transaction 2429,311.61,Income
2020-02-25,Credit Card,Utilities,Transaction 2430,615.75,Expense
2020-12-20,Cash,Utilities,Transaction 2431,248.15,Expense
2020-03-15,Credit Card,Bonus,Transaction 2432,756.66,Income
2025-01-12,Credit Card,Utilities,Transaction 2433,651.38,Expense
2024-09-24,Checking,Salary,Transaction 2434,611.98,Income
2021-04-20,Cash,Misc,Transaction 2435,26.21,Expense
2024-05-18,Savings,Entertainment,Transaction 2436,458.17,Expense
2020-12-25,Credit Card,Sales,Transaction 2437,368.87,Income
2023-06-08,Cash,Bonus,Transaction 2438,150.00,Income
2021-02-01,Checking,Entertainment,Transaction 2439,982.24,Expense
2020-11-02,Cash,Transport,Transaction 2440,768.93,Expense
2023-08-28,Savings,Food,Transaction 2441,597.86,Expense
2021-10-27,Savings,Stock,Transaction 2442,326.86,Income
2022-01-30,Cash,Transport,Transaction 2443,949.45,Expense
2024-05-12,Cash,Misc,Transaction 2444,583.19,Expense
2020-11-01,Cash,Sales,Transaction 2445,191.32,Income
2024-07-26,Checking,Salary,Transaction 2446,530.41,Income
2021-12-19,Cash,Sales,Transaction 2447,564.96,Income
2023-03-19,Cash,Transport,Transaction 2448,152.58,Expense
2025-07-10,Credit Card,Entertainment,Transaction 2449,844.69,Expense
2025-07-04,Cash,Entertainment,Transaction 2450,78.62,Expense
2023-10-11,Checking,Entertainment,Transaction 2451,791.59,Expense
2021-03-28,Savings,Transport,Transaction 2452,204.20,Expense
2021-09-23,Cash,Stock,Transaction 2453,214.75,Income
2022-11-11,Savings,Food,Transaction 2454,356.03,Expense
2023-10-23,Savings,Transport,Transaction 2455,104.09,Expense
2023-03-18,Credit Card,Misc,Transaction 2456,911.30,Expense
2023-10-07,Cash,Bonus,Transaction 2457,706.39,Income
2021-02-15,Cash,Bonus,Transaction 2458,278.39,Income
2022-03-10,Credit Card,Misc,Transaction 2459,468.19,Expense
2024-02-25,Cash,Salary,Transaction 2460,51.20,Income
2020-06-08,Savings,Sales,Transaction 2461,474.61,Income
2020-02-17,Savings,Food,Transaction 2462,932.32,Expense
2020-03-28,Cash,Transport,Transaction 2463,729.81,Expense
2023-07-29,Cash,Sales,Transaction 2464,552.23,Income
2024-02-11,Savings,Sales,Transaction 2465,768.58,Income
2020-08-08,Savings,Food,Transaction 2466,384.03,Expense
2024-12-24,Credit Card,Stock,Transaction 2467,387.65,Income
2024-08-07,Checking,Food,Transaction 2468,161.83,Expense
2025-07-26,Checking,Utilities,Transaction 2469,969.06,Expense
2021-12-08,Credit Card,Entertainment,Transaction 2470,205.14,Expense
2023-03-04,Credit Card,Salary,Transaction 2471,787.36,Income
2025-04-16,Credit Card,Salary,Transaction 2472,40.12,Income
2023-05-05,Savings,Bonus,Transaction 2473,435.57,Income
2021-10-03,Checking,Stock,Transaction 2474,991.92,Income
2021-10-15,Savings,Entertainment,Transaction 2475,903.76,Expense
2025-03-13,Cash,Utilities,Transaction 2476,655.36,Expense
2024-03-15,Checking,Sales,Transaction 2477,332.79,Income
2025-01-11,Savings,Bonus,Transaction 2478,437.87,Income
2021-10-10,Cash,Salary,Transaction 2479,43.68,Income
2025-07-01,Savings,Stock,Transaction 2480,476.21,Income
2020-01-02,Checking,Transport,Transaction 2481,131.88,Expense
2023-08-08,Cash,Misc,Transaction 2482,856.48,Expense
2022-11-21,Credit Card,Transport,Transaction 2483,668.86,Expense
2023-10-07,Credit Card,Salary,Transaction 2484,781.72,Income
2025-03-29,Cash,Stock,Transaction 2485,903.56,Income
2024-11-02,Credit Card,Sales,Transaction 2486,355.92,Income
2024-12-18,Credit Card,Sales,Transaction 2487,87.59,Income
2024-04-16,Savings,Misc,Transaction 2488,755.12,Expense
2025-07-11,Checking,Transport,Transaction 2489,804.12,Expense
2024-11-17,Checking,Bonus,Transaction 2490,262.35,Income
2023-02-23,Credit Card,Sales,Transaction 2491,574.60,Income
2021-05-10,Credit Card,Misc,Transaction 2492,753.01,Expense
2023-05-07,Checking,Salary,Transaction 2493,80.60,Income
2025-04-25,Credit Card,Sales,Transaction 2494,604.33,Income
2023-02-14,Savings,Stock,Transaction 2495,609.96,Income
2023-05-29,Cash,Sales,Transaction 2496,891.75,Income
2021-07-23,Savings,Salary,Transaction 2497,621.82,Income
2021-01-29,Checking,Bonus,Transaction 2498,256.65,Income
2023-11-29,Cash,Food,Transaction 2499,168.84,Expense
2024-04-02,Checking,Transport,Transaction 2500,156.54,Expense
2020-01-24,Credit Card,Entertainment,Transaction 2501,575.25,Expense
2024-11-15,Credit Card,Transport,Transaction 2502,163.07,Expense
2024-09-08,Credit Card,Misc,Transaction 2503,462.06,Expense
2020-02-21,Checking,Food,Transaction 2504,140.30,Expense
2021-06-26,Savings,Food,Transaction 2505,169.12,Expense
2022-06-25,Checking,Entertainment,Transaction 2506,30.63,Expense
2023-03-22,Checking,Misc,Transaction 2507,794.28,Expense
2023-09-28,Savings,Bonus,Transaction 2508,575.06,Income
2020-09-12,Cash,Salary,Transaction 2509,328.51,Income
2022-12-21,Cash,Salary,Transaction 2510,729.25,Income
2022-03-07,Savings,Misc,Transaction 2511,90.25,Expense
2023-03-09,Cash,Food,Transaction 2512,283.12,Expense
2022-02-23,Savings,Transport,Transaction 2513,640.65,Expense
2023-11-10,Checking,Transport,Transaction 2514,291.30,Expense
2021-09-22,Cash,Entertainment,Transaction 2515,636.86,Expense
2020-06-22,Cash,Bonus,Transaction 2516,359.27,Income
2023-10-13,Savings,Food,Transaction 2517,775.63,Expense
2025-08-09,Checking,Stock,Transaction 2518,283.61,Income
2020-03-18,Checking,Utilities,Transaction 2519,426.75,Expense
2020-11-23,Credit Card,Salary,Transaction 2520,294.34,Income
2023-11-26,Cash,Sales,Transaction 2521,342.89,Income
2023-01-14,Credit Card,Salary,Transaction 2522,180.03,Income
2024-08-24,Savings,Misc,Transaction 2523,825.32,Expense
2020-04-18,Savings,Bonus,Transaction 2524,26.78,Income
2024-03-10,Savings,Bonus,Transaction 2525,834.80,Income
2025-04-26,Cash,Transport,Transaction 2526,17.12,Expense
2021-12-22,Credit Card,Sales,Transaction 2527,989.55,Income
2022-07-17,Savings,Stock,Transaction 2528,385.40,Income
2023-08-18,Credit Card,Stock,Transaction 2529,639.23,Income
2022-07-06,Checking,Sales,Transaction 2530,748.19,Income
2020-02-15,Checking,Entertainment,Transaction 2531,944.95,Expense
2023-12-11,Savings,Bonus,Transaction 2532,102.11,Income
2023-02-19,Checking,Misc,Transaction 2533,444.94,Expense
2023-12-03,Credit Card,Entertainment,Transaction 2534,97.14,Expense
2023-02-03,Cash,Entertainment,Transaction 2535,11.85,Expense
2022-05-05,Savings,Stock,Transaction 2536,874.64,Income
2021-10-31,Credit Card,Stock,Transaction 2537,251.72,Income
2020-04-12,Credit Card,Sales,Transaction 2538,194.72,Income
2024-04-28,Checking,Stock,Transaction 2539,719.39,Income
2022-12-23,Credit Card,Sales,Transaction 2540,104.53,Income
2022-04-12,Checking,Utilities,Transaction 2541,67.29,Expense
2022-05-02,Checking,Transport,Transaction 2542,373.90,Expense
2025-06-28,Checking,Sales,Transaction 2543,196.04,Income
2020-04-07,Checking,Misc,Transaction 2544,671.15,Expense
2021-03-31,Credit Card,Sales,Transaction 2545,521.85,Income
2020-04-02,Credit Card,Salary,Transaction 2546,702.47,Income
2021-10-26,Credit Card,Transport,Transaction 2547,32.15,Expense
2022-11-09,Cash,Stock,Transaction 2548,279.70,Income
2020-01-10,Checking,Misc,Transaction 2549,81.32,Expense
2021-01-05,Savings,Food,Transaction 2550,828.14,Expense
2024-08-23,Cash,Utilities,Transaction 2551,128.05,Expense
2021-03-15,Cash,Salary,Transaction 2552,689.51,Income
2023-03-26,Credit Card,Salary,Transaction 2553,300.72,Income
2022-04-17,Savings,Entertainment,Transaction 2554,106.18,Expense
2020-07-23,Cash,Stock,Transaction 2555,770.83,Income
2023-10-18,Savings,Stock,Transaction 2556,613.42,Income
2023-02-02,Cash,Stock,Transaction 2557,683.11,Income
2023-02-14,Savings,Food,Transaction 2558,391.58,Expense
2022-07-07,Checking,Transport,Transaction 2559,888.55,Expense
2022-09-01,Credit Card,Transport,Transaction 2560,738.21,Expense
2023-06-01,Savings,Sales,Transaction 2561,237.90,Income
2021-05-30,Cash,Food,Transaction 2562,691.64,Expense
2020-12-01,Cash,Bonus,Transaction 2563,226.74,Income
2022-12-07,Credit Card,Bonus,Transaction 2564,360.68,Income
2022-01-22,Checking,Salary,Transaction 2565,814.69,Income
2024-05-30,Checking,Bonus,Transaction 2566,217.75,Income
2020-07-02,Checking,Food,Transaction 2567,644.06,Expense
2025-01-17,Checking,Stock,Transaction 2568,817.97,Income
2022-05-20,Checking,Food,Transaction 2569,784.77,Expense
2024-02-29,Cash,Food,Transaction 2570,672.41,Expense
2020-08-23,Savings,Transport,Transaction 2571,202.44,Expense
2025-01-18,Checking,Sales,Transaction 2572,563.15,Income
2023-01-04,Cash,Transport,Transaction 2573,19.94,Expense
2023-06-08,Cash,Food,Transaction 2574,565.40,Expense
2021-10-24,Credit Card,Transport,Transaction 2575,940.54,Expense
2024-03-04,Savings,Stock,Transaction 2576,247.93,Income
2020-08-15,Savings,Food,Transaction 2577,572.43,Expense
2024-06-14,Savings,Stock,Transaction 2578,125.20,Income
2023-09-14,Savings,Transport,Transaction 2579,636.19,Expense
2025-05-24,Credit Card,Bonus,Transaction 2580,420.35,Income
2024-07-28,Checking,Entertainment,Transaction 2581,615.02,Expense
2023-01-18,Savings,Salary,Transaction 2582,583.14,Income
2025-07-04,Credit Card,Sales,Transaction 2583,283.87,Income
2022-09-28,Savings,Sales,Transaction 2584,985.26,Income
2020-11-11,Checking,Bonus,Transaction 2585,84.63,Income
2024-03-21,Credit Card,Entertainment,Transaction 2586,734.49,Expense
2021-08-23,Credit Card,Transport,Transaction 2587,787.42,Expense
2022-10-07,Checking,Bonus,Transaction 2588,768.77,Income
2024-04-25,Savings,Transport,Transaction 2589,535.67,Expense
2021-07-25,Checking,Stock,Transaction 2590,527.05,Income
2022-01-25,Checking,Entertainment,Transaction 2591,424.44,Expense
2024-06-11,Savings,Salary,Transaction 2592,945.75,Income
2021-01-07,Cash,Transport,Transaction 2593,174.67,Expense
2022-03-18,Checking,Sales,Transaction 2594,152.26,Income
2020-12-18,Savings,Stock,Transaction 2595,114.57,Income
2022-12-15,Checking,Salary,Transaction 2596,628.74,Income
2022-01-14,Cash,Salary,Transaction 2597,870.15,Income
2024-10-12,Cash,Salary,Transaction 2598,228.57,Income
2024-06-09,Cash,Misc,Transaction 2599,80.56,Expense
2025-07-12,Savings,Utilities,Transaction 2600,800.53,Expense
2021-10-27,Checking,Bonus,Transaction 2601,944.42,Income
2022-09-04,Checking,Misc,Transaction 2602,574.59,Expense
2022-11-27,Savings,Transport,Transaction 2603,357.52,Expense
2020-10-19,Cash,Misc,Transaction 2604,50.27,Expense
2021-05-16,Credit Card,Misc,Transaction 2605,84.57,Expense
2022-09-05,Credit Card,Entertainment,Transaction 2606,633.95,Expense
2022-09-19,Cash,Utilities,Transaction 2607,894.85,Expense
2020-10-06,Savings,Utilities,Transaction 2608,441.49,Expense
2022-10-13,Checking,Salary,Transaction 2609,945.33,Income
2020-02-11,Cash,Salary,Transaction 2610,371.29,Income
2020-09-07,Checking,Entertainment,Transaction 2611,148.30,Expense
2023-02-22,Credit Card,Bonus,Transaction 2612,3.09,Income
2021-10-06,Savings,Misc,Transaction 2613,428.36,Expense
2022-06-30,Cash,Sales,Transaction 2614,212.62,Income
2021-09-18,Cash,Entertainment,Transaction 2615,716.98,Expense
2020-03-23,Cash,Stock,Transaction 2616,972.48,Income
2022-04-21,Credit Card,Sales,Transaction 2617,903.74,Income
2021-07-31,Savings,Sales,Transaction 2618,505.24,Income
2020-11-13,Cash,Sales,Transaction 2619,453.79,Income
2024-02-03,Credit Card,Sales,Transaction 2620,127.84,Income
2021-06-18,Cash,Sales,Transaction 2621,130.94,Income
2022-12-09,Checking,Salary,Transaction 2622,98.80,Income
2024-11-18,Credit Card,Sales,Transaction 2623,267.70,Income
2024-08-05,Savings,Salary,Transaction 2624,525.37,Income
2022-10-04,Savings,Transport,Transaction 2625,919.47,Expense
2024-04-16,Savings,Utilities,Transaction 2626,243.29,Expense
2025-02-22,Cash,Stock,Transaction 2627,314.97,Income
2021-01-25,Savings,Salary,Transaction 2628,113.35,Income
2021-02-01,Savings,Stock,Transaction 2629,634.90,Income
2020-05-17,Cash,Entertainment,Transaction 2630,786.99,Expense
2022-04-11,Credit Card,Bonus,Transaction 2631,120.26,Income
2023-10-09,Checking,Food,Transaction 2632,845.90,Expense
2022-02-01,Credit Card,Misc,Transaction 2633,311.61,Expense
2024-10-02,Credit Card,Bonus,Transaction 2634,104.54,Income
2022-09-21,Cash,Utilities,Transaction 2635,594.32,Expense
2020-02-20,Checking,Entertainment,Transaction 2636,574.66,Expense
2020-12-02,Checking,Bonus,Transaction 2637,327.77,Income
2024-09-26,Checking,Salary,Transaction 2638,261.74,Income
2024-12-10,Credit Card,Transport,Transaction 2639,942.44,Expense
2025-03-12,Cash,Misc,Transaction 2640,240.28,Expense
2022-07-30,Credit Card,Sales,Transaction 2641,694.16,Income
2025-03-01,Cash,Entertainment,Transaction 2642,745.15,Expense
